Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
France,FRA,Secondary_E,SE.XPD.SECO.ZS,..,..,..,..,..,..,..,..,..,..
France,FRA,Tertiary_E,SE.XPD.TERT.ZS,..,..,..,..,..,..,..,..,..,..
France,FRA,Government_EE,SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,9.648249626,9.717340469,..
France,FRA,Secondary_A,SE.SEC.CUAT.PO.ZS,24.51972008,25.22296906,26.06286049,27.37047005,28.66297913,30.49508095,29.62495995,30.22735023,..,32.30461121
France,FRA,Education_E_PI,SE.XPD.CTOT.ZS,..,..,..,..,..,..,..,92.36663055,92.15415192,..
United Kingdom,GBR,Bachelor_A,SE.TER.CUAT.BA.ZS,..,..,..,28.38829041,29.33262062,..,..,33.92213058,..,..
United Kingdom,GBR,Primary_A,SE.PRM.CUAT.ZS,99.80786896,99.8556366,99.80831909,99.83229065,99.85984802,..,..,100,..,..
United Kingdom,GBR,Master_A,SE.TER.CUAT.MS.ZS,..,..,..,8.57874012,8.784370422,..,..,11.99042034,..,..
United Kingdom,GBR,Doctorate_A,SE.TER.CUAT.DO.ZS,..,..,..,0.916410029,0.884259999,..,..,1.001019955,..,..
United Kingdom,GBR,Primary_E,SE.XPD.PRIM.ZS,30.09235,30.77206,..,29.7885,28.91542,32.16658,32.32674,..,..,..
United Kingdom,GBR,Secondary_E,SE.XPD.SECO.ZS,48.31804,41.5706,..,40.13864,41.13215,41.03583,37.83738,..,..,..
United Kingdom,GBR,Tertiary_E,SE.XPD.TERT.ZS,16.39469,22.09704,..,23.9586,24.32627,22.82077,25.61589,..,..,..
United Kingdom,GBR,Government_EE,SE.XPD.TOTL.GB.ZS,12.78199005,12.46856976,..,12.66024017,13.35371971,13.49020958,13.44863987,13.76128006,13.34407997,..
United Kingdom,GBR,Secondary_A,SE.SEC.CUAT.PO.ZS,33.81171036,33.05904007,36.95035934,..,..,..,..,..,..,..
